Subject,Level,Strand,Sub-strand,Description,Code
Music,Year 8,Responding,Response interpretation and evaluation,"Selection and use of criteria to make informed opinions, observations and evaluations about music, and identification of personal preferences, articulating the reasons for them (ACAMUR097; ACAMUR098)",ACAMUR097
Music,Year 8,Responding,Response interpretation and evaluation,"Exploration and identification of different purposes, roles and responsibilities in music making activities as both performer and audience member (ACAMUR098)",ACAMUR098
Music,Year 9,Making,Music literacy (aural/theory),"Development of aural skills, aural memory and inner hearing to identify, sing/playback and notate rhythmic passages, melodic patterns based on familiar scale and intervals, and simple chord progressions (ACAMUM099)",ACAMUM099
Music,Year 9,Making,Music literacy (aural/theory),"Aural identification of the elements of music in isolation and combination in a range of music excerpts (not all content may be relevant to the selected context):Rhythm beat groupings/subdivision in simple time:&nbsp;,  and compound time: rests swung rhythmstempo: (andante, allegretto, vivace)Pitch scales: add harmonic minor, Blues up to 3 sharps and 3 flats in treble and bass clefsintervals: add m6, M6, m7, M7 ascending and descendingchords: major and minor triads, primary triads in isolation and simple progressions, add (i, iv, V) in minor keys, (vi) in major keys and (V7) in both major and minor keystonality: relevant to scales listed, modulation to relative major/minorriff/ostinato, pedal, sequenceDynamics and expression dynamic gradations and articulations to create contrast and alter timbreForm and structure use of themeadd minuet and trio, sonata formTimbre instruments and voice types, groups/ensembles, method of sound production, mutes, pedals and distortionTexture polyphonic/multi-voice(ACAMUM099)",ACAMUM099
Music,Year 9,Making,Composing and arranging,"Use and application of composition models to shape and refine arrangements and original works; improvising, combining and manipulating the elements of music; applying compositional devices, stylistic features and conventions to reflect a range of music styles (ACAMUM100; ACAMUM102)",ACAMUM100
Music,Year 9,Making,Composing and arranging,"Use of a range of invented and conventional notation, appropriate music terminology and available technologies, to organise, record and communicate music ideas (ACAMUM100; ACAMUM102)",ACAMUM102
Music,Year 9,Making,Practical and performance skills,"Development of technical skill and control; musical expression; and consideration of relevant stylistic musical features when practising, refining and performing a variety of repertoire
(ACAMUM101; ACAMUM103)",ACAMUM101
Music,Year 9,Making,Practical and performance skills,Consideration of the music practices of others to inform and shape their own music making through regular self-directed practice of performance skills and techniques (ACAMUM101; ACAMUM104),ACAMUM104
Music,Year 9,Making,Practical and performance skills,"Development of ensemble skills, working collaboratively to perform with expression, tonal control and awareness of ensemble 
(ACAMUM101; ACAMUM103)",ACAMUM103
Music,Year 9,Responding,Analysis and context,"Identification and description of the use and stylistic treatment of the elements of music, comparing and discussing similarities and differences between musical works from a range of styles and contexts (ACAMUR104; ACAMUR105)",ACAMUR105
Music,Year 9,Responding,Analysis and context,"Identification, comparison and evaluation of a variety of music with an understanding of cultural and historical features, stylistic characteristics and associated conventions and music practices (ACAMUR104; ACAMUR105)",ACAMUR104
Music,Year 9,Responding,Response interpretation and evaluation,Use of specific criteria and given frameworks to discuss strategies to improve and inform music making when evaluating performances and giving and receiving constructive feedback (ACAMUR104; ACAMUR105),ACAMUR105
Music,Year 9,Responding,Response interpretation and evaluation,"Development of personal opinions and musical preferences, analysing and discussing the influence of music and appreciating differing opinions and perspectives about music
(ACAMUR105)",ACAMUR105
Music,Year 9,Responding,Response interpretation and evaluation,"Evaluation and comparison of attitudes and practices towards the role of audience and performer, recognising that different practices and stylistic conventions can influence a performance and affect audience response and interpretation (ACAMUR104; ACAMUR105)",ACAMUR104
Music,Year 10,Making,Music literacy (aural/theory),"Use and application of aural skills, inner hearing and aural memory to identify, sing/playback and notate pitch, melodic and rhythmic dictations, chord changes and chord progressions (ACAMUM099)",ACAMUM099
Music,Year 10,Making,Music literacy (aural/theory),"Aural identification of the role and treatment of one or more elements of music in isolation and combination in a range of music works (not all content may be relevant to the selected context):Rhythm beat groupings/subdivision in simple time: and compound time:  ,,,&nbsp;, augmentation/diminution, rhythmic motifirregular metres ,&nbsp;, , tempo: ritenuto, rubato, a tempoPitch scales: add melodic minor and chromatic up to 4 or more sharps and 4 or more flats in treble and bass clefsaeolian, ionian, mixolydian and dorian modesintervals: add A4/D5 ascending and descending, melodic and harmonicchords: add diminished and augmented triads, major and minor primary triads in isolation and simple progressions, add (ii) in major keysperfect and plagal cadencestonality: add consonance and dissonance, modal, chromaticism, atonal, twelve toneinversionDynamics and expression gradations of sound (fp), terraced dynamics, ornamentation, expressive devices and articulations relevant to style and contextForm and structure motivic development through composed and strophic, interlude, ritornello, fugueTimbre use of idiomatic techniques (bowing, harmonics, vibrato, glissando/slide, sticks/mallets, slap bass, digitally manipulated sound, oscillation, filters, pedals)Texturehorizontal and vertical layers of sound appropriate to style and context and repertoire studied (distortion, white noise) (ACAMUM099)",ACAMUM099
Music,Year 10,Making,Composing and arranging,"Composition and arrangement of musical works of increasing complexity; improvising and purposefully applying, combining and manipulating the elements of music; and synthesising appropriate stylistic features and conventions to shape, extend, manipulate and evaluate music ideas (ACAMUM102)",ACAMUM102
Music,Year 10,Making,Composing and arranging,"Use of specialised notation, context appropriate terminology and available technologies to organise, record and communicate music ideas across a range of styles (ACAMUM100; ACAMUM102)",ACAMUM100
Music,Year 10,Making,Practical and performance skills,"Development and refinement of technical skill and control and musicianship skills; applying style-specific techniques and expression in a purposeful and musical manner when practising, refining and performing repertoire from a range of styles and contexts
(ACAMUM101; ACAMUM103)",ACAMUM101
Music,Year 10,Making,Practical and performance skills,"Analysis and comparison of performances and performance practices to devise and apply effective practice strategies and evaluate, shape and refine music performance skills and techniques (ACAMUM101; ACAMUR104)",ACAMUM104
Music,Year 10,Making,Practical and performance skills,"Development and consolidation of ensemble skills, working collaboratively to rehearse and perform a range of repertoire with stylistically appropriate expression, tonal control, awareness of different performer responsibilities and audience needs (ACAMUM101; ACAMUM103)",ACAMUM103
Music,Year 10,Responding,Analysis and context,"Identification, comparison and evaluation of the use, combination and stylistic treatment of the elements of music, using aural and critical analysis skills and stylistically informed language to make comparisons, informed observations and judgements about a wide range of music (ACAMUR104)",ACAMUR104
Music,Year 10,Responding,Analysis and context,"Identification, analysis and evaluation of connections between social, cultural and historical influences and musical developments; and analysis of how the use and combination of the elements of music define stylistic characteristics and cultural and historical features (ACAMUR104; ACAMUR105)",ACAMUR105
Music,Year 10,Responding,Response interpretation and evaluation,"Identification and selection of specific criteria to devise and apply strategies when analysing, evaluating and refining their own and others' musical works and performances (ACAMUR104)",ACAMUR104
Music,Year 10,Responding,Response interpretation and evaluation,"Development of personal preferences and aesthetic appreciation, differentiating between subjective and objective interpretations when comparing and evaluating stylistic interpretations of a range of music (ACAMUR105)",ACAMUR105
Music,Year 10,Responding,Response interpretation and evaluation,"Consideration of cultural, social and ethical issues, comparing and evaluating audience response and performer roles across a broad range of music in formal, informal, virtual and interactive settings (ACAMUR105)",ACAMUR105
Visual Arts,ABLEWA Stage A,Stage A Content Descriptions,Explore and Represent Ideas,Experience creation of visual artworks (VCAVAE001),VCAVAE001
Visual Arts,ABLEWA Stage A,Stage A Content Descriptions,Visual Arts Practices,Exposure to different materials and techniques to make artworks (VCAVAV002),VCAVAV002
Visual Arts,ABLEWA Stage A,Stage A Content Descriptions,Present and Perform,Experience the display of artworks (VCAVAP003),VCAVAP003
Visual Arts,ABLEWA Stage A,Stage A Content Descriptions,Respond and Interpret,React to visual artworks (VCAVAR004),VCAVAR004
Visual Arts,ABLEWA Stage B,Stage B Content Descriptions,Explore and Represent Ideas,Explore materials to create visual artworks (VCAVAE005),VCAVAE005
Visual Arts,ABLEWA Stage B,Stage B Content Descriptions,Visual Arts Practices,Experience some materials and techniques to make artworks (VCAVAV006),VCAVAV006
Visual Arts,ABLEWA Stage B,Stage B Content Descriptions,Present and Perform,Create artworks in response to an idea or observation (VCAVAP007),VCAVAP007
Visual Arts,ABLEWA Stage B,Stage B Content Descriptions,Respond and Interpret,Respond to visual artworks (VCAVAR008),VCAVAR008
Visual Arts,ABLEWA Stage C,Stage C Content Descriptions,Explore and Represent Ideas,Explore experiences and observations to create visual artworks (VCAVAE009),VCAVAE009
Visual Arts,ABLEWA Stage C,Stage C Content Descriptions,Visual Arts Practices,Use different materials and techniques to make artworks (VCAVAV010),VCAVAV010
Visual Arts,ABLEWA Stage C,Stage C Content Descriptions,Present and Perform,Create artworks to communicate ideas or observation (VCAVAP011),VCAVAP011
Visual Arts,ABLEWA Stage C,Stage C Content Descriptions,Respond and Interpret,Respond to visual artworks by indicating subject matter (VCAVAR012),VCAVAR012
Visual Arts,ABLEWA Stage D,Stage D Content Descriptions,Explore and Represent Ideas,"Explore ideas, experiences and observations to create visual artworks (VCAVAE013)",VCAVAE013
Visual Arts,ABLEWA Stage D,Stage D Content Descriptions,Visual Arts Practices,Explore different materials and techniques to make artworks (VCAVAV014),VCAVAV014
Visual Arts,ABLEWA Stage D,Stage D Content Descriptions,Present and Perform,"Create and display artworks to communicate an idea, concept or observation (VCAVAP015)",VCAVAP015
Visual Arts,ABLEWA Stage D,Stage D Content Descriptions,Respond and Interpret,Respond to visual artworks expressing what they like and dislike (VCAVAR016),VCAVAR016
Visual Arts,Pre-Primary,Making,Ideas,"Exploration of, and experimentation with, the visual art elements of shape, colour, line and texture (ACAVAM106)",ACAVAM106
Visual Arts,Pre-Primary,Making,Ideas,Exploration of natural and man-made materials when creating artwork (ACAVAM107),ACAVAM107
Visual Arts,Pre-Primary,Making,Skills,"Development of artistic skills through experimentation with:shape (familiar shapes; simple 2D shapes)colour (primary colours, secondary colours)line (curved, straight, wavy, zigzag)texture (familiar objects)to create&nbsp;artwork (ACAVAM107)",ACAVAM107
Visual Arts,Pre-Primary,Making,Skills,"Exploration of tactile techniques, such as block printing, clay work or collage (ACAVAM107)",ACAVAM107
Visual Arts,Pre-Primary,Making,Production,"Use of a variety of techniques, to create 2D and 3D artwork inspired by personal experiences, ready for display (ACAVAM108)",ACAVAM108
Visual Arts,Pre-Primary,Making,Production,Sharing artwork with others (ACAVAM108),ACAVAM108
Visual Arts,Pre-Primary,Responding,,Appreciation of where and how artwork is displayed in the local community (ACAVAR109),ACAVAR109
Visual Arts,Pre-Primary,Responding,,Personal responses and feelings about artwork they view and make&nbsp;&nbsp;(ACAVAR109),ACAVAR109
Visual Arts,Year 1,Making,Ideas,"Exploration of, and experimentation with, the visual art elements of shape, colour, line, space and texture (ACAVAM106)",ACAVAM106
Visual Arts,Year 1,Making,Ideas,"Exploration of different materials, media and/or technologies, when creating artwork (ACAVAM107)",ACAVAM107
Visual Arts,Year 1,Making,Skills,"Development of artistic skills through experimentation with:shape (geometric shapes)colour (mixing primary colours to create secondary colours)line (broken, jagged, dashed)space (background, foreground)texture (changes in texture; transfer of texture)to create artwork (ACAVAM107)",ACAVAM107
Visual Arts,Year 1,Making,Skills,"Exploration of techniques and art processes, such as mixed media, colour mixing or drawing (ACAVAM107)",ACAVAM107
Visual Arts,Year 1,Making,Production,"Use of visual art elements and techniques, to create 2D and 3D artwork, that communicate an idea to an audience (ACAVAM108)",ACAVAM108
Visual Arts,Year 1,Making,Production,Display of artwork (ACAVAM108),ACAVAM108
Visual Arts,Year 1,Responding,,"Appreciation of different types of artwork, and where and how it is displayed (ACAVAR109)",ACAVAR109
Visual Arts,Year 1,Responding,,"Personal opinions, feelings and ideas about artwork they view and make (ACAVAR109)",ACAVAR109
Visual Arts,Year 2,Making,Ideas,"Exploration of, and experimentation with, the visual art elements of shape, line, colour, space and texture and how these are used in the environment (ACAVAM106)",ACAVAM106
Visual Arts,Year 2,Making,Ideas,"Experimentation with, and use of materials, media and/or technologies when creating artwork (ACAVAM107)",ACAVAM107
Visual Arts,Year 2,Making,Skills,"Development of artistic skills through experimentation with:shape (symmetrical shapes; simple tessellating shapes)colour (warm, cool colours)line (horizontal, vertical, diagonal, spiral; lines that show motion)space (overlapping to show depth; horizon line)texture (different man-made and natural materials)to create artwork (ACAVAM107)",ACAVAM107
Visual Arts,Year 2,Making,Skills,"Experimentation with techniques and art processes such as painting, printmaking and mixed media (ACAVAM107)",ACAVAM107
Visual Arts,Year 2,Making,Production,"Use of visual art elements and techniques, to create 2D and 3D artwork, to communicate ideas and messages to an audience (ACAVAM108)",ACAVAM108
Visual Arts,Year 2,Making,Production,Presentation and display of original artwork (ACAVAM108),ACAVAM108
Visual Arts,Year 2,Responding,,Appreciation of the choices made when creating and displaying artwork (ACAVAR109),ACAVAR109
Visual Arts,Year 2,Responding,,"Personal responses, identifying elements of shape, line, colour, space and texture in artwork they view and make&nbsp;&nbsp;(ACAVAR109)",ACAVAR109
Visual Arts,Year 3,Making,Ideas,"Exploration of artwork from other cultures, such as styles and symbols of Indigenous Australian and Asian cultures (ACAVAM110)",ACAVAM110
Visual Arts,Year 3,Making,Ideas,"Exploration of visual art elements, in conjunction with different materials, media and/or technologies, when creating artwork (ACAVAM111)",ACAVAM111
Visual Arts,Year 3,Making,Skills,"Development of artistic processes and techniques to explore visual conventions through:shape (asymmetrical shapes; composite shapes; space around shapes; organic)colour (tints &ndash; mixing white; shades &ndash; adding black)line (thick, thin, dashed, continuous, broken)space (simple perspective &ndash; foreground, middle-ground, background)texture (etching by scratching through surfaces; texture quality &ndash; matte, sheen)to create artwork (ACAVAM111)",ACAVAM111
Visual Arts,Year 3,Making,Skills,"Experimentation with a variety of techniques and use of art processes, such as weaving, photomontage or painting in artwork (ACAVAM111)",ACAVAM111
Visual Arts,Year 3,Making,Production,Presentation of an idea to an audience and reflection of the visual art elements and materials used in artwork (ACAVAM112),ACAVAM112
Visual Arts,Year 3,Making,Production,Presentation and consideration of where and how artwork is displayed (ACAVAR109),ACAVAR109
Visual Arts,Year 3,Responding,,Appreciation and respect for a variety of artwork (ACAVAR113),ACAVAR113
Visual Arts,Year 3,Responding,,"Personal responses discussing the use of visual art elements in their own and other&rsquo;s artwork, and identifying meaning in artwork from other cultures (ACAVAR113)",ACAVAR113
Visual Arts,Year 4,Making,Ideas,"Exploration of artwork from varying times and cultures that represent different styles, such as realistic, narrative and abstract&nbsp;&nbsp;(ACAVAM110)",ACAVAM110
Visual Arts,Year 4,Making,Ideas,"Use of visual art elements and selection of materials, media and/or technologies to create specific artwork (ACAVAM111)",ACAVAM111
Visual Arts,Year 4,Making,Skills,"Development of artistic processes and techniques to explore visual conventions through:shape (open, closed; abstract; view from top, side, bottom; positive, negative)colour (monochromatic &ndash; all the colours of a single hue; colours of varying intensity)line (shows an edge line to indicate emotion; lines of various weights)space (geometric, organic; diminishing perspective)texture (piercing, pinching, pressing, embossing, scoring)value (mixing of shades)to create artwork (ACAVAM111)",ACAVAM111
Visual Arts,Year 4,Making,Skills,"Use of techniques, art processes and exploration of art forms such as monoprinting, sculpture or ceramics (ACAVAM111)",ACAVAM111
Visual Arts,Year 4,Making,Production,Presentation of a message to an audience and reflection of the visual art elements and materials used in artwork (ACAVAM112),ACAVAM112
Visual Arts,Year 4,Making,Production,Presentation and display of artwork with consideration of visual appeal/aesthetics (ACAVAM112),ACAVAM112
Visual Arts,Year 4,Responding,,"Appreciation and respect for a range of artwork from different social, cultural and historical contexts (ACAVAR113)",ACAVAR113
Visual Arts,Year 4,Responding,,"Responses to their own and others&rsquo; artwork, reflecting on meaning using visual art terminology (ACAVAR113)",ACAVAR113
Visual Arts,Year 5,Making,Ideas,"Exploration of artwork from various artists and different approaches used to communicate ideas, beliefs and opinions (ACAVAM114)",ACAVAM114
Visual Arts,Year 5,Making,Ideas,"Exploration of the influences of other artists, and selection of visual art elements, materials, media and/or technologies, to enhance their own artwork (ACAVAM115)",ACAVAM115
Visual Arts,Year 5,Making,Skills,"Development and application of artistic techniques and processes with:shape (convex, concave)colour (expressive colours, natural colours)line (implied lines for movement and depth)space (shading &ndash; creating illusion of depth)texture (textures created with a variety of tools, materials, and techniques; patterning)value (gradations of value)to create artwork (ACAVAM115)",ACAVAM115
Visual Arts,Year 5,Making,Skills,"Use of techniques, art processes, and experimentation with art forms, such as digital imaging, screen printing or illustration (ACAVAM115)",ACAVAM115
Visual Arts,Year 5,Making,Production,"Presentation and reflection of ideas, feelings and opinions in artwork, including consideration of audience and feedback (ACAVAM116)",ACAVAM116
Visual Arts,Year 5,Making,Production,Presentation and display of artwork to enhance visual appeal/aesthetics (ACAVAM116),ACAVAM116
Visual Arts,Year 5,Responding,,"Appreciation of the role of art from different times and cultures, and consideration of how the artist&rsquo;s perspective is reflected in the artwork (ACAVAR117)",ACAVAR117
Visual Arts,Year 5,Responding,,"Responses that identify and describe, using visual art terminology, how visual art elements and techniques are used to communicate meaning and purpose in artwork (ACAVAR117)",ACAVAR117
Visual Arts,Year 6,Making,Ideas,Exploration of artwork inspired by observation or imagination from various artists and cultures that use materials and techniques to enhance the artist's belief or viewpoint&nbsp;&nbsp;(ACAVAM114),ACAVAM114
Visual Arts,Year 6,Making,Ideas,"Application of visual art elements and selection of materials, media and/or technologies, to communicate an idea, belief or viewpoint (ACAVAM115)",ACAVAM115
Visual Arts,Year 6,Making,Skills,Development and application of artistic techniques and processes with:shape (exaggerated proportions; motifs; fonts)colour (colour wheel; tertiary colour)line (lines that create an illusion)space (focal point and one-point perspective; basic facial proportions; horizontal and vertical symmetry)texture (real and simulated)value(highlights; shadows; form)to create artwork (ACAVAM115),ACAVAM115
Visual Arts,Year 6,Making,Skills,"Use of a variety of techniques, art processes and art forms, such as digital imaging, lino printing or stencils to suit purpose (ACAVAM115)",ACAVAM115
Visual Arts,Year 6,Making,Production,"Presentation and reflection of ideas, feelings, beliefs and viewpoints expressed in artwork, including consideration of audience and feedback (ACAVAM116)",ACAVAM116
Visual Arts,Year 6,Making,Production,Consideration of how to display artwork to enhance visual appeal/aesthetics and meaning (ACAVAM116),ACAVAM116
Visual Arts,Year 6,Responding,,Appreciation of diverse interpretations/readings of an artwork by different audiences (ACAVAR117),ACAVAR117
Visual Arts,Year 6,Responding,,"Personal responses, using visual art terminology, about how visual art elements, techniques and symbolic meaning communicate ideas and messages; and identifying factors that influence artwork from different social, cultural and historical times (ACAVAR117)",ACAVAR117
Visual Arts,Year 7,Making,Inquiry,"Ideas and design development for art-making (e.g. brainstorm, mind map, annotation/sketches, media testing)  (ACAVAM120)",ACAVAM120
Visual Arts,Year 7,Making,Inquiry,"Application of techniques and processes suited to 2D and/or 3D artwork (e.g. one-colour lino print, observational drawing) (ACAVAM121)",ACAVAM121
Visual Arts,Year 7,Making,Inquiry,Visual art language (visual art elements and principles of design) used in the development of artwork (e.g. using repetitive shapes and colour to create a pattern)&nbsp;&nbsp;(ACAVAM118),ACAVAM118
Visual Arts,Year 7,Making,Inquiry,"Introduction to one or two of the visual art conventions (e.g. compositional devices, such as the use of directional leading lines to direct the eye into the composition; colour theory) (ACAVAM118)",ACAVAM118
Visual Arts,Year 7,Making,Inquiry,"Art-making intentions identified through annotations or conversations (e.g. keeping a written or digital journal, or portfolio or question/answer; one-to-one, or group debriefs; discussing responses to artwork) (ACAVAM120)",ACAVAM120
Visual Arts,Year 7,Making,Art practice,Processes to develop and produce artwork (ACAVAM121),ACAVAM121
Visual Arts,Year 7,Making,Art practice,Safe work practices (e.g. hand placement when using a lino tool) (ACAVAM121),ACAVAM121
Visual Arts,Year 7,Making,Art practice,Processes and finished artwork appraised; ways to improve art practice; reflection (ACAVAM122),ACAVAM122
Visual Arts,Year 7,Making,Art practice,Techniques and processes to support representation of ideas in their art-making (ACAVAM119;&nbsp;ACAVAM121),ACAVAM121
Visual Arts,Year 7,Making,Presentation,Display options of finished artwork to enhance audience interpretation (ACAVAM122),ACAVAM122
Visual Arts,Year 7,Making,Presentation,Presentation convention of attributing artwork (e.g. printmaking convention of the edition for each print) (ACAVAM122),ACAVAM122
Visual Arts,Year 7,Responding,Analysis,One critical framework (STICI or Taylor) to discuss artwork (ACAVAR123),ACAVAR123
Visual Arts,Year 7,Responding,Analysis,"Use of visual art elements (line, tone/value, colour, shape, texture, form and space; principles of design (movement, balance, rhythm, harmony, pattern, contrast, unity, repetition, scale)); visual conventions and visual art terminology to respond to artwork (e.g. dot point form, discussion or written format) (ACAVAR123)",ACAVAR123
Visual Arts,Year 7,Responding,Analysis,"Key features identified in the organisation of a composition (e.g. use of focal point, cropping) (ACAVAR123)",ACAVAR123
Visual Arts,Year 7,Responding,"Social, cultural and historical contexts","Key features identified in artwork belonging to a given artist, movement, time or place (ACAVAR124)",ACAVAR124
Visual Arts,Year 7,Responding,"Social, cultural and historical contexts",Purpose and meaning associated with artwork from the selected artists and art styles&nbsp;&nbsp;(ACAVAR124),ACAVAR124
Visual Arts,Year 7,Responding,Interpretation/response,"Personal opinions about their own artwork and the work of others&rsquo;, supported by examples within artwork (ACAVAR123)",ACAVAR123
Visual Arts,Year 8,Making,Inquiry,"Ideas and design development for art-making 
(e.g. brainstorm, mind map, annotations/sketches, media testing) 
 (ACAVAM120)",ACAVAM120
Visual Arts,Year 8,Making,Inquiry,"Application of techniques and processes suited to 2D and/or 3D artwork (e.g. blind contour drawing, rolling a slab) (ACAVAM121)",ACAVAM121
Visual Arts,Year 8,Making,Inquiry,Visual art language (visual art elements and principles of design) used in the development of artwork (e.g. using line to create implied textural qualities in a drawing) (ACAVAM118),ACAVAM118
Visual Arts,Year 8,Making,Inquiry,"Development of understanding of visual art conventions including visual inquiry (e.g. observational tonal drawing, developing a storyboard for an illustration) (ACAVAM118)",ACAVAM118
Visual Arts,Year 8,Making,Inquiry,"Art-making intentions identified through annotations or conversations (e.g. keeping a written or digital journal; series of process photographs, portfolio, sketchbook; or aural presentations on artworks/art styles) (ACAVAM120)",ACAVAM120
Visual Arts,Year 8,Making,Art practice,Processes to develop and produce artwork (ACAVAM121),ACAVAM121
Visual Arts,Year 8,Making,Art practice,Safe work practices (e.g. wipe desks down with damp cloth after ceramics to remove any traces of dry ceramic dust) (ACAVAM121),ACAVAM121
Visual Arts,Year 8,Making,Art practice,Processes and finished artwork appraised; ways to improve art practice; reflection (ACAVAM122),ACAVAM122
Visual Arts,Year 8,Making,Art practice,Techniques and processes to support representation of ideas in their art-making (ACAVAM119;&nbsp;ACAVAM121),ACAVAM121
Visual Arts,Year 8,Making,Presentation,Display options of finished artwork (decisions as to how and where it might be presented) to enhance audience interpretation&nbsp;&nbsp;(ACAVAM122),ACAVAM122
Visual Arts,Year 8,Making,Presentation,Identification of skills and processes required for an artwork to be considered for display and recognition of the importance of presentation conventions (e.g. framing/mounting) (ACAVAM122),ACAVAM122
Visual Arts,Year 8,Responding,Analysis,Critical frameworks (STICI or Taylor) to discuss artwork (ACAVAR123),ACAVAR123
Visual Arts,Year 8,Responding,Analysis,"Use of visual art elements; principles of design; visual conventions and visual art terminology to respond to artwork (e.g. dot point form, verbal or written format) (ACAVAR123)",ACAVAR123
Visual Arts,Year 8,Responding,Analysis,Key features considered when constructing a composition (e.g. use of linear and/or atmospheric perspective to create a sense of distance in space) (ACAVAR123),ACAVAR123
Visual Arts,Year 8,Responding,"Social, cultural and historical contexts","Key features recognised in artwork belonging to selected artists, movement, times or places&nbsp;&nbsp;(ACAVAR124)",ACAVAR124
Visual Arts,Year 8,Responding,"Social, cultural and historical contexts",Purpose and meaning communicated in artwork from the selected artists and art styles&nbsp;&nbsp;(ACAVAR124),ACAVAR124
Visual Arts,Year 8,Responding,Interpretation/response,"Personal opinions about their own artwork and the work of others&rsquo;, supported by specific examples within artwork and reasons to justify opinions&nbsp;(ACAVAR123)",ACAVAR123
Visual Arts,Year 9,Making,Inquiry,"Ideas for art-making appropriate for chosen discipline (e.g. brainstorm, mind map, annotations/sketches, photography, media testing)  (ACAVAM128)",ACAVAM128
Visual Arts,Year 9,Making,Inquiry,"Exploration of media, materials and technologies in order to understand how they can be applied to a variety of art forms  (ACAVAM125;&nbsp;ACAVAM126)",ACAVAM125
Visual Arts,Year 9,Making,Inquiry,Visual art language (visual art elements and principles of design) used in the development of artwork (e.g. applying colour to a black and white print) (ACAVAM125),ACAVAM125
Visual Arts,Year 9,Making,Inquiry,Recognition and use of visual art conventions (e.g. examining the representation of the human form in cultural contexts)&nbsp;&nbsp;(ACAVAM125;&nbsp;ACAVAM128),ACAVAM125
Visual Arts,Year 9,Making,Inquiry,"Personal responses in written and visual form to illustrate understanding of themes, concepts or subject &nbsp;(ACAVAM125)",ACAVAM125
Visual Arts,Year 9,Making,Inquiry,Introduction of ideas inspired by an artistic style in their own artwork (ACAVAM125),ACAVAM125
Visual Arts,Year 9,Making,Art practice,"Materials, techniques and technologies explored to develop and represent their own artistic intention (ACAVAM126)",ACAVAM126
Visual Arts,Year 9,Making,Art practice,Safe and sustainable practices when producing artwork (ACAVAM127),ACAVAM127
Visual Arts,Year 9,Making,Art practice,Processes and resolved artwork appraised; ways to improve art practice; reflection (ACAVAM129),ACAVAM129
Visual Arts,Year 9,Making,Art practice,Techniques and processes chosen to develop and refine artwork when representing ideas and subject matter&nbsp;&nbsp;(ACAVAM127),ACAVAM127
Visual Arts,Year 9,Making,Presentation,"Consideration of audience engagement and display options when exhibiting artwork related to an art form (e.g. site-specific, &lsquo;Sculptures by the Sea&rsquo;) (ACAVAM129)",ACAVAM129
Visual Arts,Year 9,Making,Presentation,Resolved artwork presented with consideration of personal expression and audience; can be verbal or written&nbsp;(ACAVAM129),ACAVAM129
Visual Arts,Year 9,Responding,Analysis,"Critical analysis frameworks (STICI, Feldman or Taylor) used to analyse artwork from contemporary and past times&nbsp;&nbsp;(ACAVAR131)",ACAVAR131
Visual Arts,Year 9,Responding,Analysis,"Use of visual art language (visual art elements and principles of design), visual conventions and art terminology to respond to artwork (e.g. dot point, short answer essay, verbal format) (ACAVAR131)",ACAVAR131
Visual Arts,Year 9,Responding,Analysis,"Visual conventions identified in complex compositional arrangement of artwork (e.g. metamorphosis, Cubist fragmentation) (ACAVAR131)",ACAVAR131
Visual Arts,Year 9,Responding,"Social, cultural and historical contexts",Identification of representations in artwork within a given context&nbsp;&nbsp;(ACAVAR130),ACAVAR130
Visual Arts,Year 9,Responding,"Social, cultural and historical contexts",Viewpoints in artwork from particular artists and styles&nbsp;&nbsp;(ACAVAR131),ACAVAR131
Visual Arts,Year 9,Responding,"Social, cultural and historical contexts","Practices, techniques and viewpoints of artists from different cultural groups  (ACAVAR130)",ACAVAR130
Visual Arts,Year 9,Responding,Interpretation/response,"Evaluation of their own artwork and the artwork of others', using examples and evidence to support judgements&nbsp;&nbsp;(ACAVAR130)",ACAVAR130
Visual Arts,Year 10,Making,Inquiry,"Ideas for own art-making which supports personal learning style and chosen discipline (e.g. brainstorm, mind map, annotations/sketches, photography, media testing)  (ACAVAM128)",ACAVAM128
Visual Arts,Year 10,Making,Inquiry,"Exploration of a wide range of 2D, 3D and/or 4D visual art techniques, in order to plan and influence the personal choice of materials and technologies&nbsp;&nbsp;(ACAVAM125;&nbsp;ACAVAM126)",ACAVAM126
Visual Arts,Year 10,Making,Inquiry,Visual art language (visual art elements and principles of design) used in the development of artwork (e.g. using implied texture and a range of tones to create form)&nbsp;&nbsp; (ACAVAM125),ACAVAM125
Visual Arts,Year 10,Making,Inquiry,"Recognition, use of and responding to visual art conventions (e.g. the comparisons between traditional and modernist art styles; the transition from still to moving imagery) (ACAVAM125;&nbsp;ACAVAM128)",ACAVAM125
Visual Arts,Year 10,Making,Inquiry,"Exploration, development and refinement of their personal style in conjunction with representations of other artists through documentation, drawings, recordings, film  (ACAVAM125)",ACAVAM125
Visual Arts,Year 10,Making,Inquiry,"Ideas explored and refined, responding to the style of other artists in their own artwork (ACAVAM125)",ACAVAM125
Visual Arts,Year 10,Making,Inquiry,Application of a range of visual art techniques to plan and influence the choice of materials and technologies (media testing/exploration) (ACAVAM126),ACAVAM126
Visual Arts,Year 10,Making,Art practice,"Materials, techniques, technologies and processes manipulated to develop and represent their own artistic intentions (ACAVAM126)",ACAVAM126
Visual Arts,Year 10,Making,Art practice,Safe and sustainable practices; preparedness for hazardous situations and responsible actions while working with more complex materials in the production and display of artwork (ACAVAM127),ACAVAM127
